CISP,Month,Year,Year month,Attempted murder,Rape,Missing people,Homicides,Thefts,Kidnapping,Area,Crimes
1,1,2003,2003-01-01,1,0,2,1,269,0,Praça Mauá,273
1,2,2003,2003-02-01,1,0,0,0,374,0,Praça Mauá,375
1,3,2003,2003-03-01,0,0,1,0,292,0,Praça Mauá,293
1,4,2003,2003-04-01,0,1,2,0,341,0,Praça Mauá,344
1,5,2003,2003-05-01,0,0,0,2,341,0,Praça Mauá,343
1,6,2003,2003-06-01,0,0,3,0,257,0,Praça Mauá,260
1,7,2003,2003-07-01,0,1,2,0,295,0,Praça Mauá,298
1,8,2003,2003-08-01,1,1,1,2,308,0,Praça Mauá,313
1,9,2003,2003-09-01,0,1,1,1,294,0,Praça Mauá,297
1,10,2003,2003-10-01,0,0,2,0,289,0,Praça Mauá,291
1,11,2003,2003-11-01,0,0,0,0,377,0,Praça Mauá,377
1,12,2003,2003-12-01,1,0,4,2,383,0,Praça Mauá,390
1,1,2004,2004-01-01,0,0,3,1,263,0,Praça Mauá,267
1,2,2004,2004-02-01,1,0,3,3,348,0,Praça Mauá,355
1,3,2004,2004-03-01,0,2,0,0,415,0,Praça Mauá,417
1,4,2004,2004-04-01,0,0,4,1,323,0,Praça Mauá,328
1,5,2004,2004-05-01,1,0,2,0,250,0,Praça Mauá,253
1,6,2004,2004-06-01,0,1,1,1,487,0,Praça Mauá,490
1,7,2004,2004-07-01,0,1,0,2,288,0,Praça Mauá,291
1,8,2004,2004-08-01,0,0,0,0,309,0,Praça Mauá,309
1,9,2004,2004-09-01,1,0,3,1,316,0,Praça Mauá,321
1,10,2004,2004-10-01,0,3,0,5,295,0,Praça Mauá,303
1,11,2004,2004-11-01,0,1,1,2,315,0,Praça Mauá,319
1,12,2004,2004-12-01,0,0,0,4,347,0,Praça Mauá,351
1,1,2005,2005-01-01,0,0,1,1,309,0,Praça Mauá,311
1,2,2005,2005-02-01,0,0,0,1,312,0,Praça Mauá,313
1,3,2005,2005-03-01,0,3,5,1,351,0,Praça Mauá,360
1,4,2005,2005-04-01,0,0,0,1,358,0,Praça Mauá,359
1,5,2005,2005-05-01,0,0,3,1,339,1,Praça Mauá,344
1,6,2005,2005-06-01,0,3,5,3,354,0,Praça Mauá,365
1,7,2005,2005-07-01,1,0,1,3,321,0,Praça Mauá,326
1,8,2005,2005-08-01,0,0,5,0,419,0,Praça Mauá,424
1,9,2005,2005-09-01,0,0,4,1,371,0,Praça Mauá,376
1,10,2005,2005-10-01,0,1,2,1,385,0,Praça Mauá,389
1,11,2005,2005-11-01,0,0,1,1,404,0,Praça Mauá,406
1,12,2005,2005-12-01,1,0,2,0,405,0,Praça Mauá,408
1,1,2006,2006-01-01,0,1,1,1,340,0,Praça Mauá,343
1,2,2006,2006-02-01,1,0,0,0,399,0,Praça Mauá,400
1,3,2006,2006-03-01,1,0,4,0,362,0,Praça Mauá,367
1,4,2006,2006-04-01,1,1,4,0,401,0,Praça Mauá,407
1,5,2006,2006-05-01,0,0,2,0,449,0,Praça Mauá,451
1,6,2006,2006-06-01,0,1,3,1,362,0,Praça Mauá,367
1,7,2006,2006-07-01,1,5,4,0,443,0,Praça Mauá,453
1,8,2006,2006-08-01,0,0,1,1,450,0,Praça Mauá,452
1,9,2006,2006-09-01,4,5,4,1,371,0,Praça Mauá,385
1,10,2006,2006-10-01,1,2,1,1,419,0,Praça Mauá,424
1,11,2006,2006-11-01,3,0,3,1,437,0,Praça Mauá,444
1,12,2006,2006-12-01,0,2,1,2,492,0,Praça Mauá,497
1,1,2007,2007-01-01,0,1,2,3,423,0,Praça Mauá,429
1,2,2007,2007-02-01,2,0,6,1,510,0,Praça Mauá,519
1,3,2007,2007-03-01,0,0,2,0,505,0,Praça Mauá,507
1,4,2007,2007-04-01,1,0,1,1,458,0,Praça Mauá,461
1,5,2007,2007-05-01,1,1,1,0,533,1,Praça Mauá,537
1,6,2007,2007-06-01,0,0,2,2,472,0,Praça Mauá,476
1,7,2007,2007-07-01,0,0,2,1,453,0,Praça Mauá,456
1,8,2007,2007-08-01,0,1,1,1,510,0,Praça Mauá,513
1,9,2007,2007-09-01,0,0,2,4,451,0,Praça Mauá,457
1,10,2007,2007-10-01,0,0,4,1,533,0,Praça Mauá,538
1,11,2007,2007-11-01,2,2,2,1,538,0,Praça Mauá,545
1,12,2007,2007-12-01,1,6,2,6,522,0,Praça Mauá,537
1,1,2008,2008-01-01,3,0,0,2,565,0,Praça Mauá,570
1,2,2008,2008-02-01,0,0,1,2,568,0,Praça Mauá,571
1,3,2008,2008-03-01,1,1,0,1,478,0,Praça Mauá,481
1,4,2008,2008-04-01,0,4,2,0,460,0,Praça Mauá,466
1,5,2008,2008-05-01,0,1,0,1,448,0,Praça Mauá,450
1,6,2008,2008-06-01,0,1,2,1,499,0,Praça Mauá,503
1,7,2008,2008-07-01,1,1,2,1,501,0,Praça Mauá,506
1,8,2008,2008-08-01,0,1,1,1,488,0,Praça Mauá,491
1,9,2008,2008-09-01,0,0,4,1,526,0,Praça Mauá,531
1,10,2008,2008-10-01,0,1,2,1,527,0,Praça Mauá,531
1,11,2008,2008-11-01,1,2,10,0,514,0,Praça Mauá,527
1,12,2008,2008-12-01,3,1,1,1,524,0,Praça Mauá,530
1,1,2009,2009-01-01,1,1,0,0,442,0,Praça Mauá,444
1,2,2009,2009-02-01,0,1,2,3,581,0,Praça Mauá,587
1,3,2009,2009-03-01,0,0,4,2,601,0,Praça Mauá,607
1,4,2009,2009-04-01,1,0,3,0,539,0,Praça Mauá,543
1,5,2009,2009-05-01,1,2,1,2,558,0,Praça Mauá,564
1,6,2009,2009-06-01,0,0,2,0,572,0,Praça Mauá,574
1,7,2009,2009-07-01,2,0,1,1,494,0,Praça Mauá,498
1,8,2009,2009-08-01,0,1,2,0,519,0,Praça Mauá,522
1,9,2009,2009-09-01,0,1,1,1,533,0,Praça Mauá,536
1,10,2009,2009-10-01,0,0,3,1,470,0,Praça Mauá,474
1,11,2009,2009-11-01,1,0,0,1,476,0,Praça Mauá,478
1,12,2009,2009-12-01,0,0,1,6,526,0,Praça Mauá,533
1,1,2010,2010-01-01,0,0,2,0,449,0,Praça Mauá,451
1,2,2010,2010-02-01,0,0,2,3,616,0,Praça Mauá,621
1,3,2010,2010-03-01,0,2,2,1,516,0,Praça Mauá,521
1,4,2010,2010-04-01,1,0,0,1,459,0,Praça Mauá,461
1,5,2010,2010-05-01,0,0,2,1,529,0,Praça Mauá,532
1,6,2010,2010-06-01,1,0,0,0,523,1,Praça Mauá,525
1,7,2010,2010-07-01,2,1,2,1,569,1,Praça Mauá,576
1,8,2010,2010-08-01,0,3,2,1,474,0,Praça Mauá,480
1,9,2010,2010-09-01,0,1,2,0,481,0,Praça Mauá,484
1,10,2010,2010-10-01,0,2,3,1,442,0,Praça Mauá,448
1,11,2010,2010-11-01,4,2,0,1,436,1,Praça Mauá,444
1,12,2010,2010-12-01,2,1,1,0,518,0,Praça Mauá,522
1,1,2011,2011-01-01,0,2,4,3,405,0,Praça Mauá,414
1,2,2011,2011-02-01,0,1,3,0,526,0,Praça Mauá,530
1,3,2011,2011-03-01,0,0,1,0,640,0,Praça Mauá,641
1,4,2011,2011-04-01,1,0,1,0,416,0,Praça Mauá,418
1,5,2011,2011-05-01,1,0,1,3,432,0,Praça Mauá,437
1,6,2011,2011-06-01,0,0,3,0,446,0,Praça Mauá,449
1,7,2011,2011-07-01,1,0,1,2,410,0,Praça Mauá,414
1,8,2011,2011-08-01,0,0,0,1,415,0,Praça Mauá,416
1,9,2011,2011-09-01,2,0,0,0,400,0,Praça Mauá,402
1,10,2011,2011-10-01,0,0,1,1,347,1,Praça Mauá,350
1,11,2011,2011-11-01,2,0,1,2,342,0,Praça Mauá,347
1,12,2011,2011-12-01,0,0,1,2,363,0,Praça Mauá,366
1,1,2012,2012-01-01,0,0,1,1,354,0,Praça Mauá,356
1,2,2012,2012-02-01,0,0,0,0,757,0,Praça Mauá,757
1,3,2012,2012-03-01,0,0,2,3,461,0,Praça Mauá,466
1,4,2012,2012-04-01,3,0,1,2,335,0,Praça Mauá,341
1,5,2012,2012-05-01,0,3,3,0,368,0,Praça Mauá,374
1,6,2012,2012-06-01,0,0,3,0,331,0,Praça Mauá,334
1,7,2012,2012-07-01,0,2,4,2,444,0,Praça Mauá,452
1,8,2012,2012-08-01,0,0,2,0,409,0,Praça Mauá,411
1,9,2012,2012-09-01,0,0,0,0,299,0,Praça Mauá,299
1,10,2012,2012-10-01,0,0,2,1,322,0,Praça Mauá,325
1,11,2012,2012-11-01,0,0,0,1,284,0,Praça Mauá,285
1,12,2012,2012-12-01,0,1,1,0,257,0,Praça Mauá,259
1,1,2013,2013-01-01,2,1,2,0,264,0,Praça Mauá,269
1,2,2013,2013-02-01,0,0,1,1,586,0,Praça Mauá,588
1,3,2013,2013-03-01,0,0,1,1,290,0,Praça Mauá,292
1,4,2013,2013-04-01,0,1,2,1,282,0,Praça Mauá,286
1,5,2013,2013-05-01,0,0,3,0,294,0,Praça Mauá,297
1,6,2013,2013-06-01,3,0,0,0,309,0,Praça Mauá,312
1,7,2013,2013-07-01,1,1,0,0,311,0,Praça Mauá,313
1,8,2013,2013-08-01,1,0,1,0,301,0,Praça Mauá,303
1,9,2013,2013-09-01,0,0,1,0,269,0,Praça Mauá,270
1,10,2013,2013-10-01,0,0,0,0,274,0,Praça Mauá,274
