CISP,Month,Year,Year month,Attempted murder,Rape,Missing people,Homicides,Thefts,Kidnapping,Crimes,Population,Bangu,Barra da Tijuca,Bonsucesso,Botafogo,Campinho,Campo Grande,Catete,Cidade Nova,Complexo do Alemão,Copacabana,Engenho Novo,Guaratiba,Gávea,Honório Gurgel,Ilha do Governador,Inhaúma,Ipanema,Irajá,Leblon,Madureira,Marechal Hermes,Mem de Sá,Méier,Pavuna,Penha,Piedade,Praça Mauá,Praça da Bandeira,Praça da República,Realengo,Recreio,Ricardo de Albuquerque,Rocinha,Santa Cruz,Santa Teresa,São Cristóvão,Tanque,Taquara,Tijuca,Todos os Santos,Vicente de Carvalho,Vila Isabel
1,1,2007,2007-01-01,0,1,2,3,423,0,429,1592.919765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2007,2007-02-01,2,0,6,1,510,0,519,1593.93243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2007,2007-03-01,0,0,2,0,505,0,507,1594.945738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2007,2007-04-01,1,0,1,1,458,0,461,1595.959691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2007,2007-05-01,1,1,1,0,533,1,537,1596.974288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2007,2007-06-01,0,0,2,2,472,0,476,1597.98953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2007,2007-07-01,0,0,2,1,453,0,456,1598.963001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2007,2007-08-01,0,1,1,1,510,0,513,1599.979507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,2007,2007-09-01,0,0,2,4,451,0,457,1600.99666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,2007,2007-10-01,0,0,4,1,533,0,538,1602.014459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,2007,2007-11-01,2,2,2,1,538,0,545,1603.032906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2007,2007-12-01,1,6,2,6,522,0,537,1604.051999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2008,2008-01-01,3,0,0,2,565,0,570,1605.071741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2008,2008-02-01,0,0,1,2,568,0,571,1606.092131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
